call_a,call_b,talkgroupRef,delta_ms,received_a,received_b
1048,1049,51518,618.4,2026-04-15 09:35:09.567312-04,2026-04-15 09:35:10.185733-04
1046,1048,51518,384.9,2026-04-15 09:35:09.182364-04,2026-04-15 09:35:09.567312-04
1043,1047,51590,391.9,2026-04-15 09:35:09.170441-04,2026-04-15 09:35:09.562305-04
1044,1046,51518,11.9,2026-04-15 09:35:09.170509-04,2026-04-15 09:35:09.182364-04
1035,1037,51518,450.7,2026-04-15 09:34:59.669228-04,2026-04-15 09:35:00.119941-04
1033,1034,51541,131.1,2026-04-15 09:34:58.717535-04,2026-04-15 09:34:58.848621-04
1030,1031,51541,548.6,2026-04-15 09:34:50.640968-04,2026-04-15 09:34:51.189616-04
1028,1029,51518,544.0,2026-04-15 09:34:50.089794-04,2026-04-15 09:34:50.633788-04
1026,1027,51590,989.1,2026-04-15 09:34:49.100702-04,2026-04-15 09:34:50.089795-04
1022,1023,51541,5.0,2026-04-15 09:34:45.812123-04,2026-04-15 09:34:45.817078-04
1018,1019,51584,522.8,2026-04-15 09:34:36.968042-04,2026-04-15 09:34:37.490835-04
980,981,51541,77.8,2026-04-15 09:32:18.114294-04,2026-04-15 09:32:18.192109-04
978,979,51541,354.4,2026-04-15 09:32:08.616542-04,2026-04-15 09:32:08.970987-04
975,976,51541,511.7,2026-04-15 09:32:00.628357-04,2026-04-15 09:32:01.140055-04
973,974,51541,534.5,2026-04-15 09:31:57.622462-04,2026-04-15 09:31:58.156997-04
971,972,51731,969.8,2026-04-15 09:31:56.647961-04,2026-04-15 09:31:57.617809-04
966,968,51518,458.3,2026-04-15 09:31:40.58286-04,2026-04-15 09:31:41.041202-04
961,963,51518,432.9,2026-04-15 09:31:34.653147-04,2026-04-15 09:31:35.086055-04
955,957,51518,483.4,2026-04-15 09:31:24.098652-04,2026-04-15 09:31:24.582023-04
947,949,51705,402.1,2026-04-15 09:31:12.91006-04,2026-04-15 09:31:13.312146-04
945,948,51503,284.5,2026-04-15 09:31:12.635112-04,2026-04-15 09:31:12.919608-04
916,918,51723,900.9,2026-04-15 09:29:38.316313-04,2026-04-15 09:29:39.217226-04
911,913,51518,324.8,2026-04-15 09:29:33.277436-04,2026-04-15 09:29:33.602236-04
907,908,51722,483.6,2026-04-15 09:29:28.608375-04,2026-04-15 09:29:29.091937-04
899,902,51722,836.2,2026-04-15 09:29:24.644823-04,2026-04-15 09:29:25.480992-04
895,898,51722,759.6,2026-04-15 09:29:22.755066-04,2026-04-15 09:29:23.514661-04
892,893,51518,519.9,2026-04-15 09:29:19.545041-04,2026-04-15 09:29:20.06497-04
888,890,51722,755.4,2026-04-15 09:29:18.726994-04,2026-04-15 09:29:19.482377-04
885,886,51518,469.2,2026-04-15 09:29:15.143353-04,2026-04-15 09:29:15.612599-04
878,879,51518,427.3,2026-04-15 09:29:03.656933-04,2026-04-15 09:29:04.084232-04
855,856,51752,68.6,2026-04-15 09:27:56.944716-04,2026-04-15 09:27:57.013266-04
854,855,51752,822.1,2026-04-15 09:27:56.122607-04,2026-04-15 09:27:56.944716-04
852,853,51518,473.8,2026-04-15 09:27:54.181349-04,2026-04-15 09:27:54.655159-04
850,851,51590,571.8,2026-04-15 09:27:53.609509-04,2026-04-15 09:27:54.181349-04
849,852,51518,726.3,2026-04-15 09:27:53.455009-04,2026-04-15 09:27:54.181349-04
847,849,51518,313.5,2026-04-15 09:27:53.141499-04,2026-04-15 09:27:53.455009-04
846,848,51752,389.8,2026-04-15 09:27:53.062968-04,2026-04-15 09:27:53.452789-04
844,845,51752,310.5,2026-04-15 09:27:50.23559-04,2026-04-15 09:27:50.546053-04
841,842,51514,39.3,2026-04-15 09:27:46.934542-04,2026-04-15 09:27:46.973808-04
815,819,51518,969.9,2026-04-15 09:26:52.095106-04,2026-04-15 09:26:53.065012-04
816,818,51590,967.1,2026-04-15 09:26:52.095107-04,2026-04-15 09:26:53.062171-04
807,808,51518,447.8,2026-04-15 09:26:44.130696-04,2026-04-15 09:26:44.57845-04
